session_id,mean_early,mean_late,delta,n_turns
baseline_transcript_1,-0.04610000000000003,0.26555,0.31165000000000004,11
baseline_transcript_2,-0.47465,0.1611,0.63575,11
baseline_transcript_3,-0.37165000000000004,0.52765,0.8993,11
baseline_transcript_4,-0.4073,-0.1021,0.3052,11
baseline_transcript_5,0.024050000000000016,0.669,0.64495,11
