session_id,mean_early,mean_late,delta,n_turns
baseline_transcript_1,-0.82065,0.16244999999999998,0.9831,11
baseline_transcript_2,-0.41985,-0.04055,0.37929999999999997,11
baseline_transcript_3,-0.43575,-0.34995,0.08580000000000004,11
baseline_transcript_4,0.2452,0.21255,-0.03265000000000001,11
baseline_transcript_5,-0.67865,-0.3359,0.34275,11
